17/08/07 22:24
プロジェクトの翻訳状況

            	  分節数	   単語数	文字数（空白を除く）	文字数（空白を含む）	ファイル数	
合計：         	10632	102567	    620319	    708427	  111	
未翻訳：        	10627	102562	    620190	    708298	  111	
繰り返しを除いた：   	 8684	 98167	    588978	    673932	  111	
繰り返しを除いた未翻訳：	 8681	 98164	    588903	    673857	  111	


ファイルごとの翻訳状況：

ファイル名                                                  	すべての分節数	未翻訳分節数	繰り返しを除いた分節数	繰り返しを除いた未翻訳分節数	すべての単語数	未翻訳単語数	繰り返しを除いた単語数	繰り返しを除いた未翻訳単語数	すべての文字数（空白を除く）	未翻訳文字数（空白を除く）	繰り返しを除いた文字数（空白を除く）	繰り返しを除いた未翻訳文字数（空白を除く）	すべての文字数（空白を含む）	未翻訳文字数（空白を含む）	繰り返しを除いた文字数（空白を含む）	繰り返しを除いた未翻訳文字数（空白を含む）	
user_guide_src/source/DCO.rst                          	      6	     6	          6	             6	    186	   186	        186	           186	           993	          993	               993	                  993	          1154	         1154	              1154	                 1154	
user_guide_src/source/general/alternative_php.rst      	     31	    31	         31	            31	    233	   233	        233	           233	          1392	         1392	              1392	                 1392	          1597	         1597	              1597	                 1597	
user_guide_src/source/general/caching.rst              	     28	    28	         24	            24	    332	   332	        332	           332	          1720	         1720	              1712	                 1712	          2004	         2004	              1996	                 1996	
user_guide_src/source/general/cli.rst                  	     54	    54	         49	            49	    488	   488	        484	           484	          2816	         2816	              2778	                 2778	          3222	         3222	              3182	                 3182	
user_guide_src/source/general/cli_commands.rst         	    134	   134	        109	           109	   1075	  1075	       1063	          1063	          6246	         6246	              6139	                 6139	          7172	         7172	              7057	                 7057	
user_guide_src/source/general/common_functions.rst     	    214	   214	        160	           160	   1644	  1644	       1588	          1588	          9578	         9578	              9173	                 9173	         11060	        11060	             10608	                10608	
user_guide_src/source/general/configuration.rst        	     48	    48	         47	            47	    720	   720	        720	           720	          4245	         4245	              4243	                 4243	          4863	         4863	              4861	                 4861	
user_guide_src/source/general/controllers.rst          	    160	   160	        125	           125	   1437	  1437	       1388	          1388	          8722	         8722	              8371	                 8371	          9872	         9872	              9484	                 9484	
user_guide_src/source/general/core_classes.rst         	     43	    43	         33	            33	    490	   490	        490	           490	          3106	         3106	              3095	                 3095	          3500	         3500	              3489	                 3489	
user_guide_src/source/general/debugging.rst            	    103	   103	         96	            96	   1145	  1145	       1140	          1140	          6910	         6910	              6896	                 6896	          7929	         7929	              7915	                 7915	
user_guide_src/source/general/environments.rst         	     39	    39	         38	            38	    471	   471	        471	           471	          3054	         3054	              3052	                 3052	          3487	         3487	              3485	                 3485	
user_guide_src/source/general/errors.rst               	     60	    59	         58	            57	    676	   675	        675	           674	          3973	         3946	              3967	                 3940	          4544	         4517	              4537	                 4510	
user_guide_src/source/general/events.rst               	     51	    51	         48	            48	    612	   612	        612	           612	          3605	         3605	              3600	                 3600	          4120	         4120	              4115	                 4115	
user_guide_src/source/general/filters.rst              	    101	   101	         82	            82	    954	   954	        943	           943	          5482	         5482	              5312	                 5312	          6336	         6336	              6156	                 6156	
user_guide_src/source/general/helpers.rst              	     61	    61	         58	            58	    811	   811	        811	           811	          4510	         4510	              4504	                 4504	          5187	         5187	              5181	                 5181	
user_guide_src/source/general/index.rst                	     28	    28	         25	            25	     28	    28	         26	            26	           286	          286	               263	                  263	           287	          287	               264	                  264	
user_guide_src/source/general/logging.rst              	     69	    68	         67	            67	   1014	  1013	       1013	          1013	          6580	         6553	              6551	                 6551	          7733	         7706	              7704	                 7704	
user_guide_src/source/general/managing_apps.rst        	     21	    21	         20	            20	    287	   287	        287	           287	          2019	         2019	              2017	                 2017	          2236	         2236	              2234	                 2234	
