17/01/24 17:46
            	 分節数	  単語数	文字数（空白を除く）	文字数（空白を含む）	
繰り返し：       	1361	 2398	     18191	     19857	
完全に一致：      	  61	  587	      4049	      4550	
 95% - 100%：	   0	    0	         0	         0	
 85% -  94%：	   3	    7	       182	       186	
 75% -  84%：	   3	   15	       258	       264	
 50% -  74%：	  55	  452	      2752	      3130	
一致しない：      	6901	79284	    476432	    544860	
合計：         	8384	82743	    501864	    572847	
